Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   7.9% (used 1620 bytes from 20480 bytes)
Flash: [====      ]  37.1% (used 24320 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
	�j�4��r��b>�.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
469.91,0.00,0.00,0.01,-0.10,-170.24,141.20,0.00,0.00
471.25,0.00,0.00,0.01,-0.10,-170.31,141.17,0.00,0.00
472.00,0.00,0.00,0.01,-0.10,-170.33,141.22,0.00,0.00
473.31,0.00,0.00,0.01,-0.10,-170.31,141.26,0.00,0.00
474.45,0.00,0.00,0.01,-0.10,-170.29,141.20,0.00,0.00
475.70,0.00,0.00,0.01,-0.10,-170.22,141.20,0.00,0.00
477.08,0.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
478.30,0.00,0.00,0.01,-0.10,-170.29,141.22,0.00,0.00
479.11,0.00,0.00,0.01,-0.10,-170.33,141.26,0.00,nan
480.39,0.00,0.00,0.01,-0.10,-170.31,141.24,0.00,0.00
481.72,0.00,0.00,0.01,-0.10,-170.20,141.20,0.00,0.00
482.85,0.00,0.00,0.01,-0.10,-170.24,141.22,0.00,0.00
484.13,0.00,0.00,0.01,-0.10,-170.20,141.20,0.00,0.00
485.45,0.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
486.81,0.00,0.00,0.01,-0.10,-170.29,141.20,0.00,0.00
487.53,0.00,0.00,0.01,-0.10,-170.27,141.24,0.00,0.00
488.84,0.00,0.00,0.01,-0.10,-170.33,141.24,0.00,0.00
489.92,0.00,0.00,0.01,-0.10,-170.31,141.24,0.00,0.00
491.28,0.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
492.54,0.00,0.00,0.01,-0.10,-170.31,141.24,0.00,0.00
493.88,0.00,0.00,0.01,-0.10,-170.31,141.24,0.00,0.00
494.60,0.00,0.00,0.01,-0.10,-170.27,141.22,0.00,0.00
495.91,0.00,0.00,0.01,-0.10,-170.33,141.26,0.00,0.00
497.08,0.00,0.00,0.01,-0.10,-170.29,141.20,0.00,nan
498.30,0.00,0.00,0.01,-0.10,-170.33,141.20,0.00,0.00
499.68,0.00,0.00,0.01,-0.10,-170.24,141.20,0.00,0.00
